,isbn,title,author,avg_rating,count_rating,count_reviews,date_published,top_genre,genre1,genre2,genre3
0,9780440337973,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,721465.0,60356.0,2008-07-29,"Historical Fiction, Fiction, Romance, Historical, World War II, Book Club, War",Historical Fiction,Fiction,Romance
1,9780385541206,The Whistler,John Grisham,3.95,120472.0,7710.0,2016-10-25,"Fiction, Mystery, Thriller, Audiobook, Crime, Legal Thriller, Suspense",Fiction,Mystery,Thriller
2,9781101984772,Ring of Fire,Brad Taylor,4.28,4371.0,230.0,2017-01-10,"Thriller, Fiction, Action, Military Fiction, Spy Thriller, Espionage, Mystery Thriller",Thriller,Fiction,Action
3,9780345544964,Small Great Things,Jodi Picoult,4.35,342790.0,30250.0,2016-10-11,"Fiction, Contemporary, Audiobook, Adult, Adult Fiction, Book Club, Race",Fiction,Contemporary,Audiobook
4,9781476738031,A Man Called Ove,Fredrik Backman,4.38,917052.0,98756.0,2012-08-27,"Fiction, Contemporary, Audiobook, Humor, Adult, Book Club, Adult Fiction",Fiction,Contemporary,Audiobook
5,9780425285350,The Mistress,Danielle Steel,3.89,11239.0,680.0,2017-01-03,"Romance, Fiction, Chick Lit, Adult, Contemporary Romance, Adult Fiction, Audiobook",Romance,Fiction,Chick Lit
6,9780698193000,The Guests on South Battery,Karen   White,4.13,10032.0,949.0,2017-01-10,"Mystery, Fiction, Paranormal, Ghosts, Romance, Southern, Chick Lit",Mystery,Fiction,Paranormal
7,9781455586493,No Man's Land,David Baldacci,4.2,44963.0,2474.0,2016-11-15,"Fiction, Thriller, Mystery, Crime, Audiobook, Suspense, Mystery Thriller",Fiction,Thriller,Mystery
8,9780399574184,Below the Belt,Stuart Woods,4.01,6351.0,435.0,2017-01-03,"Mystery, Fiction, Thriller, Crime, Suspense, Audiobook, Mystery Thriller",Mystery,Fiction,Thriller
9,9780316407168,Cross the Line,James Patterson,4.08,24059.0,1354.0,2016-11-16,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook",Mystery,Fiction,Thriller
10,9781250105615,The Dry,Jane Harper,4.06,219993.0,18379.0,2016-05-31,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Australia, Audiobook",Mystery,Fiction,Thriller
11,9781429960274,A Dog's Purpose,W. Bruce Cameron,4.35,127947.0,14287.0,2010-07-01,"Fiction, Animals, Dogs, Contemporary, Fantasy, Adult, Audiobook",Fiction,Animals,Dogs
12,9780385538923,The Sleepwalker,Chris Bohjalian,3.68,20091.0,2656.0,2017-01-10,"Fiction, Mystery, Thriller, Suspense, Audiobook, Mystery Thriller, Adult",Fiction,Mystery,Thriller
13,9780345459503,Distant Shores,Kristin Hannah,3.76,41550.0,2399.0,2002-01-01,"Fiction, Chick Lit, Romance, Contemporary, Drama, Womens Fiction, Adult",Fiction,Chick Lit,Romance
14,9781627795951,The North Water,Ian McGuire,3.99,30122.0,3619.0,2016-02-11,"Historical Fiction, Fiction, Thriller, Historical, Adventure, Mystery, Crime",Historical Fiction,Fiction,Thriller
15,9780698156357,Silver Bay,Jojo Moyes,3.77,28487.0,2034.0,2007-01-10,"Fiction, Romance, Chick Lit, Contemporary, Audiobook, Australia, Adult",Fiction,Romance,Chick Lit
